"Referred.a.Friend" "Number.of.Referrals" "Tenure.in.Months" "Offer" "Phone.Service" "Avg.Monthly.Long.Distance.Charges" "Multiple.Lines" "Internet.Service" "Internet.Type" "Avg.Monthly.GB.Download" "Online.Security" "Online.Backup" "Device.Protection.Plan" "Premium.Tech.Support" "Streaming.TV" "Streaming.Movies" "Streaming.Music" "Unlimited.Data" "Contract" "Paperless.Billing" "Payment.Method" "Monthly.Charge" "Total.Regular.Charges" "Total.Refunds" "Total.Extra.Data.Charges" "Total.Long.Distance.Charges" "Gender" "Age" "Married" "Dependents" "Number.of.Dependents" "Latitude" "Longitude" "Population" "Churn.Value" "CLTV" "Total.Customer.Svc.Requests" "Product.Service.Issues.Reported" "Customer.Satisfaction"
"4256" "Yes" 9 71 "Offer A" "Yes" 22.83 "No" "Yes" "Fiber Optic" 53 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "No" "Bank Withdrawal" 85.45 6029.9 0 0 1620.93 "Male" 35 "Yes" "Yes" 3 37.890274 -122.295192 15882 0 5394 1 1 "s3"
"4559" "Yes" 8 15 "None" "Yes" 24.12 "No" "Yes" "Cable" 13 "Yes" "No" "Yes" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 101.75 1669.4 0 217 361.8 "Female" 55 "Yes" "No" 0 39.607831 -121.777959 3524 1 2919 2 0 "-99"
"453" "No" 0 1 "None" "Yes" 42.5 "No" "Yes" "Cable" 9 "No" "No" "Yes" "No" "No" "Yes" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 88.4 85 0 0 42.5 "Female" 71 "No" "No" 0 33.897122 -118.164432 55306 1 2650 2 2 "-99"
"670" "No" 0 71 "None" "Yes" 6.1 "Yes" "Yes" "DSL" 9 "No" "Yes" "No" "Yes" "Yes" "Yes" "No" "No" "One Year" "No" "Bank Withdrawal" 105.75 7382.85 0 664 433.1 "Male" 80 "No" "No" 0 32.886925 -117.152162 74232 0 4921 2 0 "-99"
"4645" "No" 0 10 "None" "Yes" 42.93 "No" "Yes" "Fiber Optic" 52 "No" "No" "Yes" "Yes" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 91.1 964.35 0 501 429.3 "Female" 43 "No" "Yes" 3 41.468877 -120.54229 5096 1 3857 2 0 "s3"
"5483" "Yes" 5 72 "None" "Yes" 37.11 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 20.55 1432.55 0 0 2671.92 "Male" 51 "Yes" "Yes" 1 38.52576 -123.013347 4913 0 5809 1 0 "s5"
"1316" "Yes" 3 63 "Offer B" "Yes" 8.98 "Yes" "Yes" "DSL" 18 "Yes" "Yes" "Yes" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 104.572 6215.35 0 1119 565.74 "Female" 48 "Yes" "No" 0 37.380662 -122.086022 32143 0 5413 0 0 "-99"
"6612" "Yes" 9 64 "None" "Yes" 23.29 "No" "Yes" "Cable" 25 "No" "Yes" "Yes" "Yes" "No" "Yes" "Yes" "No" "Two Year" "Yes" "Credit Card" 68.3 4378.8 0 1095 1490.56 "Female" 57 "Yes" "No" 0 38.984756 -121.345074 1219 0 5425 1 0 "s5"
"5469" "No" 0 20 "None" "Yes" 16.05 "No" "Yes" "Fiber Optic" 18 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 108.2 2203.7 0 397 321 "Male" 40 "No" "No" 0 38.578807 -123.19338 1575 0 2102 0 0 "-99"
"847" "Yes" 1 68 "Offer A" "Yes" 20.31 "Yes" "Yes" "DSL" 13 "No" "Yes" "Yes" "No" "No" "No" "No" "No" "Two Year" "Yes" "Bank Withdrawal" 84.65 5683.6 0 739 1381.08 "Male" 70 "Yes" "Yes" 1 35.059695 -120.604741 7435 0 6404 0 0 "-99"
"4451" "Yes" 9 72 "Offer A" "No" 0 "No" "Yes" "DSL" 51 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Credit Card" 65.25 4478.85 0 0 0 "Male" 24 "Yes" "Yes" 3 41.163637 -123.704841 3041 0 6412 0 0 "-99"
"13" "Yes" 1 1 "Offer E" "No" 0 "No" "Yes" "Cable" 13 "No" "Yes" "No" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 41.808 40.2 0 0 0 "Male" 77 "Yes" "No" 0 34.074492 -118.01462 62660 0 5828 2 0 "-99"
"5181" "Yes" 3 67 "Offer A" "Yes" 40.35 "Yes" "Yes" "DSL" 16 "Yes" "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "No" "Credit Card" 106.7 7009.5 0 0 2703.45 "Female" 35 "Yes" "Yes" 2 37.027663 -119.69056 1125 0 4780 1 0 "s3"
"3359" "No" 0 64 "None" "Yes" 38.96 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.55 1240.15 0 0 2493.44 "Male" 42 "No" "No" 0 38.911299 -123.609588 1352 0 6036 1 0 "-99"
"4269" "No" 0 35 "None" "No" 0 "No" "Yes" "DSL" 21 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 24.15 812.5 0 0 0 "Female" 54 "No" "No" 0 37.971751 -122.611873 8486 0 5097 0 0 "-99"
"2008" "Yes" 1 58 "Offer B" "Yes" 17.22 "No" "Yes" "Cable" 23 "Yes" "Yes" "Yes" "No" "No" "No" "No" "No" "One Year" "No" "Credit Card" 62.712 3563.8 0 820 998.76 "Male" 31 "Yes" "No" 0 37.311088 -121.961786 29914 0 4026 0 0 "-99"
"2517" "Yes" 1 5 "None" "Yes" 11.54 "Yes" "Yes" "Fiber Optic" 21 "No" "Yes" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 83.356 385 0 81 57.7 "Male" 57 "Yes" "Yes" 1 32.980678 -116.262854 3577 1 5124 2 3 "-99"
"2143" "No" 0 35 "None" "Yes" 25.51 "No" "Yes" "Cable" 18 "No" "No" "Yes" "No" "Yes" "No" "No" "Yes" "One Year" "Yes" "Bank Withdrawal" 88.556 3030.6 0 0 892.85 "Male" 37 "No" "No" 0 33.945318 -117.992066 19109 0 5928 1 1 "-99"
"4123" "No" 0 3 "Offer E" "Yes" 18.26 "No" "Yes" "DSL" 29 "Yes" "No" "No" "No" "No" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Credit Card" 86.05 244.85 0 71 54.78 "Male" 54 "No" "No" 0 36.600193 -120.153393 4318 0 2500 1 0 "-99"
"3272" "No" 0 3 "None" "Yes" 20.1 "Yes" "Yes" "Fiber Optic" 29 "No" "No" "No" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 60.25 170.5 0 0 60.3 "Female" 62 "No" "No" 0 37.946282 -121.139499 23789 1 4830 3 1 "-99"
"5733" "Yes" 10 19 "Offer D" "Yes" 9.47 "Yes" "Yes" "DSL" 13 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 50.1 910.45 0 118 179.93 "Male" 51 "Yes" "Yes" 2 34.065875 -118.238728 30596 0 5749 3 0 "-99"
"4667" "No" 0 5 "None" "Yes" 44.78 "Yes" "Yes" "DSL" 29 "No" "Yes" "No" "No" "No" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 64 370.25 0 0 223.9 "Female" 37 "No" "No" 0 40.345949 -120.081187 162 0 4421 1 0 "-99"
"6241" "Yes" 1 18 "Offer D" "Yes" 43.29 "No" "Yes" "Fiber Optic" 41 "Yes" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 74.8 1438.05 0 590 779.22 "Female" 25 "Yes" "No" 0 36.959731 -120.653519 343 0 4809 2 0 "-99"
"2056" "Yes" 1 65 "Offer B" "Yes" 40.47 "No" "Yes" "DSL" 33 "Yes" "No" "No" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 77.792 4820.15 0 1591 2630.55 "Male" 56 "Yes" "No" 0 41.950683 -124.097094 2020 1 5207 5 3 "-99"
"3880" "No" 0 46 "None" "Yes" 40.32 "No" "Yes" "Cable" 51 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 44.95 2168.9 0 110.61 1854.72 "Female" 19 "No" "No" 0 34.757783 -117.33997 4948 0 2626 2 0 "s5"
"6888" "No" 0 67 "None" "Yes" 16.72 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "Yes" "Bank Withdrawal" 25.6 1790.35 1 0 1120.24 "Female" 53 "No" "No" 0 34.136306 -118.26036 17015 0 5183 1 0 "s3"
"2953" "No" 0 17 "Offer D" "Yes" 9.84 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 24.8 475.25 1 0 167.28 "Female" 64 "No" "No" 0 36.29878 -119.201028 8644 0 5208 0 0 "-99"
"2173" "No" 0 6 "None" "Yes" 1.15 "Yes" "Yes" "Fiber Optic" 3 "No" "Yes" "No" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 93.704 521.3 0 16 6.9 "Female" 53 "No" "No" 0 32.787836 -117.232376 46086 1 5656 0 0 "-99"
"5661" "Yes" 4 20 "None" "No" 0 "No" "Yes" "Fiber Optic" 22 "Yes" "No" "Yes" "Yes" "No" "No" "No" "Yes" "Two Year" "Yes" "Credit Card" 39.4 825.4 0 0 0 "Male" 33 "Yes" "Yes" 1 40.677649 -122.29467 41476 0 3899 0 0 "-99"
"3684" "Yes" 5 23 "Offer D" "Yes" 14.53 "Yes" "Yes" "Cable" 48 "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Credit Card" 73.65 1642.75 0 0 334.19 "Female" 20 "Yes" "No" 0 33.719221 -118.073596 1107 0 2590 0 0 "-99"
"6450" "No" 0 40 "Offer B" "Yes" 33.66 "Yes" "Yes" "DSL" 20 "No" "No" "No" "No" "No" "Yes" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 83.85 3532.25 0 706 1346.4 "Female" 50 "No" "No" 0 38.227285 -121.02789 722 0 4294 2 0 "-99"
"6851" "No" 0 24 "None" "Yes" 18.07 "Yes" "Yes" "Cable" 52 "No" "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 89.55 2259.35 0 0 433.68 "Female" 21 "No" "No" 0 34.015217 -118.109962 62425 0 5352 0 0 "-99"
"703" "Yes" 4 26 "None" "Yes" 46.24 "No" "Yes" "Fiber Optic" 4 "No" "No" "Yes" "No" "Yes" "No" "No" "Yes" "Two Year" "Yes" "Credit Card" 85.7 2067 0 0 1202.24 "Female" 68 "Yes" "No" 0 35.957019 -119.330928 4198 0 3935 0 0 "-99"
"4827" "Yes" 6 71 "None" "Yes" 35.09 "Yes" "Yes" "Cable" 12 "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "No" "Bank Withdrawal" 83.2 6126.1 0 735 2491.39 "Male" 47 "Yes" "No" 0 34.174493 -117.87068 57775 0 5350 2 0 "-99"
"2808" "No" 0 10 "Offer D" "No" 0 "No" "Yes" "DSL" 24 "Yes" "Yes" "Yes" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 40.7 449.3 0 0 0 "Female" 31 "No" "No" 0 33.141265 -116.967221 48690 0 2164 2 0 "-99"
"3279" "No" 0 53 "Offer B" "Yes" 10.32 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Mailed Check" 18.7 1005.7 0 0 546.96 "Female" 62 "No" "No" 0 37.943954 -120.67108 2633 0 4116 2 0 "s5"
"222" "Yes" 1 53 "Offer B" "Yes" 7.94 "Yes" "Yes" "Cable" 7 "No" "Yes" "No" "No" "Yes" "Yes" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 105.976 5549.4 0 0 420.82 "Male" 69 "Yes" "No" 0 33.833699 -118.314387 40705 1 5884 3 0 "-99"
"448" "No" 0 14 "None" "Yes" 35.07 "Yes" "Yes" "DSL" 11 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 77.272 1096.25 0 0 490.98 "Female" 75 "No" "No" 0 33.936827 -118.359824 28680 1 5342 3 1 "s3"
"1885" "No" 0 1 "None" "No" 0 "No" "Yes" "Fiber Optic" 2 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Mailed Check" 25.428 24.45 0 0 0 "Male" 44 "No" "No" 0 34.049671 -117.468896 29847 0 2121 0 0 "-99"
"6542" "No" 0 25 "Offer C" "No" 0 "No" "Yes" "Cable" 29 "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "One Year" "No" "Bank Withdrawal" 54.2 1423.15 0 41.27 0 "Female" 37 "No" "No" 0 40.839958 -124.003757 19596 0 4458 2 1 "s3"
"3960" "Yes" 2 72 "None" "Yes" 29.8 "No" "Yes" "Fiber Optic" 14 "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 79.35 5753.25 0 805 2145.6 "Male" 48 "Yes" "No" 0 33.748478 -117.858918 58157 0 4278 0 0 "-99"
"1503" "No" 0 31 "None" "Yes" 33.38 "Yes" "Yes" "Cable" 30 "No" "No" "No" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 90.012 2697.4 0 809 1034.78 "Female" 44 "No" "No" 0 34.282704 -118.312929 18752 1 4198 2 0 "s3"
"3015" "No" 0 5 "None" "Yes" 10.99 "No" "Yes" "Fiber Optic" 29 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 44.05 202.15 0 59 54.95 "Female" 46 "No" "No" 0 34.501452 -118.207862 7831 0 5846 0 0 "-99"
"5790" "No" 0 30 "Offer C" "Yes" 10.74 "No" "Yes" "Cable" 13 "Yes" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 48.8 1536.75 0 19.98 322.2 "Female" 37 "No" "No" 0 34.015481 -118.493231 5221 0 4864 2 0 "-99"
"801" "No" 0 38 "None" "Yes" 3.42 "No" "Yes" "Fiber Optic" 15 "Yes" "No" "No" "No" "No" "Yes" "No" "No" "Two Year" "Yes" "Bank Withdrawal" 83.45 3147.15 1 472 129.96 "Female" 76 "Yes" "No" 0 34.167926 -118.267539 21990 0 2768 1 1 "s3"
"5627" "Yes" 4 49 "Offer B" "Yes" 33.93 "No" "Yes" "Fiber Optic" 27 "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Credit Card" 99.25 4920.8 0 1329 1662.57 "Male" 23 "Yes" "No" 0 39.562239 -121.14836 282 0 4995 0 0 "-99"
"4849" "Yes" 9 63 "None" "Yes" 42.17 "No" "Yes" "Cable" 73 "Yes" "Yes" "Yes" "Yes" "Yes" "No" "No" "Yes" "Two Year" "No" "Credit Card" 74.5 4674.55 0 0 2656.71 "Male" 22 "Yes" "Yes" 2 34.114772 -118.089431 23444 0 6382 1 0 "-99"
"5352" "Yes" 7 1 "Offer E" "Yes" 18.63 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 20.15 20.15 0 0 18.63 "Male" 25 "Yes" "Yes" 2 37.848641 -122.515692 11213 0 3960 0 0 "-99"
"4276" "No" 0 1 "Offer E" "Yes" 42.17 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 20.45 20.45 0 0 42.17 "Male" 28 "No" "No" 0 38.325599 -122.642352 3777 0 2184 0 0 "-99"
"1355" "No" 0 7 "Offer E" "Yes" 9.25 "Yes" "Yes" "Cable" 32 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 101.972 713 0 228 64.75 "Male" 32 "No" "No" 0 37.449537 -121.994813 2147 1 2561 3 1 "s1"
"2574" "Yes" 2 18 "Offer D" "Yes" 44.97 "No" "Yes" "Fiber Optic" 7 "No" "No" "Yes" "Yes" "No" "No" "No" "No" "One Year" "Yes" "Credit Card" 54.4 957.1 0 67 809.46 "Female" 43 "Yes" "No" 0 34.099891 -118.414338 21397 0 4948 0 0 "-99"
"3618" "Yes" 8 39 "None" "No" 0 "No" "Yes" "DSL" 48 "No" "No" "No" "No" "No" "No" "No" "Yes" "One Year" "Yes" "Credit Card" 25.25 947.75 0 0 0 "Male" 27 "Yes" "No" 0 33.988543 -118.334081 44764 0 4259 0 0 "-99"
"2383" "No" 0 9 "None" "Yes" 22.88 "No" "Yes" "DSL" 25 "No" "No" "No" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 80.756 714.15 0 179 205.92 "Female" 40 "No" "No" 0 38.431407 -120.8421 222 0 3847 0 0 "-99"
"3110" "Yes" 1 31 "Offer C" "Yes" 20.76 "Yes" "Yes" "Fiber Optic" 57 "Yes" "No" "Yes" "Yes" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 89.3 2823 0 0 643.56 "Male" 37 "Yes" "Yes" 3 37.388349 -122.075299 13483 0 2132 0 0 "-99"
"6963" "Yes" 7 72 "Offer A" "Yes" 2.56 "Yes" "Yes" "DSL" 24 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Bank Withdrawal" 97.85 6841.3 0 0 184.32 "Female" 57 "Yes" "No" 0 32.67102 -117.095235 62355 0 4508 0 0 "-99"
"150" "No" 0 2 "None" "No" 0 "No" "Yes" "DSL" 7 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 25.428 47.5 0 3 0 "Male" 66 "No" "No" 0 34.598221 -117.79593 6787 1 5573 3 0 "s3"
"4361" "No" 0 41 "Offer B" "Yes" 10.09 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Mailed Check" 20 810.3 0 0 413.69 "Female" 23 "No" "No" 0 37.524721 -120.757977 5513 0 5913 2 1 "-99"
"6148" "No" 0 11 "Offer D" "Yes" 40.96 "No" "Yes" "DSL" 52 "Yes" "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 64.05 733.95 0 0 450.56 "Female" 19 "No" "No" 0 35.666886 -119.186717 10781 0 4171 0 0 "-99"
"5670" "No" 0 13 "None" "No" 0 "No" "Yes" "Fiber Optic" 57 "Yes" "Yes" "No" "Yes" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 40.55 590.35 0 336 0 "Male" 58 "Yes" "Yes" 3 40.336392 -122.448533 12348 0 2898 1 0 "-99"
"1719" "No" 0 9 "None" "Yes" 19.22 "Yes" "Yes" "Cable" 11 "No" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 99.32 829.1 0 9.12 172.98 "Male" 45 "No" "No" 0 38.52576 -123.013347 4913 1 5007 2 3 "s2"
"4287" "No" 0 25 "None" "No" 0 "No" "Yes" "DSL" 9 "Yes" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "No" "One Year" "No" "Bank Withdrawal" 61.05 1540.2 0 139 0 "Female" 31 "No" "No" 0 37.078873 -122.090386 6407 0 3695 2 0 "-99"
"690" "No" 0 66 "Offer A" "Yes" 28.06 "Yes" "Yes" "DSL" 20 "No" "Yes" "No" "No" "Yes" "Yes" "No" "Yes" "Two Year" "Yes" "Bank Withdrawal" 100.8 6690.75 0 0 1851.96 "Female" 73 "Yes" "No" 0 33.786738 -117.982564 31428 1 5469 2 0 "s4"
"1958" "No" 0 13 "None" "No" 0 "No" "Yes" "DSL" 58 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 24.856 300.8 0 174 0 "Female" 30 "No" "No" 0 36.959731 -120.653519 343 1 2967 3 0 "s3"
"5774" "No" 0 1 "None" "Yes" 23.97 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 19.4 19.4 0 0 23.97 "Female" 43 "No" "No" 0 33.90139 -118.315697 26442 0 2742 0 0 "-99"
"6121" "No" 0 51 "Offer B" "Yes" 29.33 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Bank Withdrawal" 19.1 1007.8 0 0 1495.83 "Male" 34 "No" "No" 0 34.156629 -119.117218 77791 0 4120 2 1 "s4"
"337" "No" 0 15 "None" "Yes" 7.99 "No" "Yes" "Fiber Optic" 30 "No" "Yes" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 78.312 1147.45 0 0 119.85 "Female" 70 "No" "No" 0 34.2112 -118.230625 7527 1 4526 2 0 "-99"
"5445" "No" 0 38 "None" "Yes" 21.19 "Yes" "Yes" "DSL" 24 "No" "Yes" "No" "Yes" "No" "Yes" "Yes" "Yes" "Month-to-Month" "No" "Credit Card" 68.15 2656.3 0 63.75 805.22 "Female" 61 "No" "No" 0 37.255637 -120.493537 59289 0 3371 1 0 "s3"
"1059" "Yes" 6 66 "None" "Yes" 39.38 "Yes" "Yes" "DSL" 30 "No" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Bank Withdrawal" 104.9 6891.45 0 2067 2599.08 "Female" 67 "Yes" "Yes" 1 37.943954 -120.67108 2633 1 4892 1 0 "s4"
"3201" "Yes" 5 68 "Offer A" "Yes" 32.59 "Yes" "Yes" "Fiber Optic" 24 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Bank Withdrawal" 114.7 7849.85 0 0 2216.12 "Male" 61 "Yes" "Yes" 1 37.941456 -122.320968 13984 0 5671 0 0 "-99"
"716" "No" 0 50 "None" "Yes" 31.43 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Bank Withdrawal" 25.2 1306.3 0 0 1571.5 "Female" 79 "Yes" "No" 0 37.375816 -119.739935 1968 1 4015 4 0 "s3"
"1608" "No" 0 1 "Offer E" "No" 0 "No" "Yes" "Cable" 6 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 26.156 25.15 0 0 0 "Male" 46 "No" "No" 0 35.451402 -119.488413 2078 1 5386 1 4 "s1"
"215" "No" 0 9 "Offer E" "Yes" 12.91 "Yes" "Yes" "Fiber Optic" 23 "No" "No" "No" "No" "No" "Yes" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 87.828 762.5 0 175 116.19 "Female" 76 "No" "No" 0 32.898613 -117.202937 4258 1 3543 3 0 "-99"
"1228" "No" 0 7 "None" "Yes" 47.03 "Yes" "Yes" "Fiber Optic" 2 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 103.792 673.25 0 0 329.21 "Male" 61 "No" "No" 0 34.238162 -117.534306 1090 1 2031 3 2 "s1"
"325" "No" 0 50 "None" "Yes" 18.92 "Yes" "Yes" "Fiber Optic" 12 "No" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 99.528 4816.7 0 0 946 "Male" 65 "No" "No" 0 34.059281 -118.30742 43019 1 4287 4 1 "-99"
"5991" "Yes" 8 16 "Offer D" "Yes" 48.71 "Yes" "Yes" "DSL" 12 "No" "No" "Yes" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 90.8 1442.2 0 0 779.36 "Male" 49 "Yes" "Yes" 2 33.3249 -114.758334 291 0 5560 1 1 "s3"
"1899" "Yes" 1 57 "Offer B" "Yes" 36.65 "No" "Yes" "Cable" 8 "Yes" "No" "No" "No" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Bank Withdrawal" 72.904 3913.3 0 313 2089.05 "Female" 46 "Yes" "No" 0 33.720359 -117.733655 2762 1 4669 1 2 "s1"
"2734" "No" 0 4 "None" "Yes" 31.92 "No" "Yes" "Fiber Optic" 4 "No" "No" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 90.4 356.65 0 0 127.68 "Male" 55 "No" "No" 0 32.695681 -116.798386 8759 0 3314 0 0 "-99"
"1643" "No" 0 25 "Offer C" "Yes" 5.57 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Bank Withdrawal" 25.3 676.35 0 0 139.25 "Male" 62 "No" "No" 0 37.454924 -122.203168 6876 1 3779 6 0 "-99"
"3551" "Yes" 1 48 "Offer B" "Yes" 20.73 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 26.3 1245.05 0 0 995.04 "Male" 59 "Yes" "Yes" 3 40.531257 -122.148139 830 0 2111 2 0 "-99"
"269" "Yes" 1 68 "None" "Yes" 21.33 "Yes" "Yes" "Fiber Optic" 26 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 104.208 6851.65 0 1781 1450.44 "Female" 74 "Yes" "No" 0 34.598221 -117.79593 6787 1 4481 1 0 "s1"
"6233" "No" 0 35 "None" "Yes" 44.81 "No" "Yes" "Fiber Optic" 20 "Yes" "Yes" "Yes" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 60.55 1982.6 0 0 1568.35 "Female" 57 "No" "No" 0 36.622237 -119.521126 12587 0 3463 2 0 "-99"
"3001" "No" 0 61 "Offer B" "Yes" 46.76 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.55 1305.95 0 0 2852.36 "Male" 24 "Yes" "No" 0 34.936 -120.594655 5726 0 4446 0 0 "-99"
"1210" "Yes" 5 4 "Offer E" "Yes" 28.77 "Yes" "Yes" "Cable" 21 "No" "Yes" "Yes" "No" "No" "No" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 88.192 371.9 0 78 115.08 "Male" 26 "Yes" "No" 0 32.85723 -117.209774 34902 1 4939 1 0 "s3"
"2243" "No" 0 1 "None" "Yes" 49.2 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 19.3 19.3 0 0 49.2 "Male" 61 "No" "No" 0 34.420998 -119.60137 576 1 4266 1 4 "-99"
"2401" "No" 0 1 "Offer E" "Yes" 22.12 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Mailed Check" 20.4 20.4 0 0 22.12 "Female" 31 "No" "No" 0 38.766036 -120.209673 183 0 3663 1 0 "-99"
"6339" "Yes" 4 56 "None" "Yes" 11.48 "No" "Yes" "Fiber Optic" 10 "No" "Yes" "Yes" "Yes" "No" "No" "No" "No" "One Year" "Yes" "Credit Card" 85.85 4793.8 0 479 642.88 "Male" 60 "Yes" "Yes" 1 38.006047 -121.916834 78816 0 5058 1 0 "s4"
